Release ID,Artist,Title,Year,Genres,Formats
1027797,"Rolling Stones, The",Their Satanic Majesties Request,2002,Rock,SACD
2978117,Royal Philharmonic Orchestra - Wolfgang Amadeus Mozart,Mozart,2005,Classical,SACD
760031,"Who, The",Tommy,2003,Rock,"SACD, SACD, All Media"
760031,"Who, The",Tommy,2003,Rock,"SACD, SACD, All Media"
3163707,Sting,Sacred Love,2003,"Rock, Pop",SACD
2812886,John Hiatt,Master Of Disaster,2005,Rock,SACD
4274726,Hans-Ola Ericsson,The Four Beasts' Amen,2006,Classical,SACD
3039190,"Steve Reich | Chorus Sine Nomine, Tonkünstler Orchestra, Kristjan Järvi",The Desert Music / Three Movements,2011,Classical,SACD
4489452,"Randy Brecker w/ Michael Brecker − Jim Beard, Will Lee, Peter Erskine, Marcio Doctor + WDR Big Band Köln Arr. And Conducted By Vince Mendoza",Some Skunk Funk - Live At Leverkusener Jazztage,2005,Jazz,SACD
2968910,Meat Loaf,Bat Out Of Hell,2001,Rock,SACD
1479438,Will Boulware,A Night In Tunisia,2005,Jazz,SACD
4694237,Hank Jones,My Funny Valentine,2005,Jazz,SACD
4566517,Harry Belafonte,Calypso,2013,"Reggae, Latin, Pop",SACD
3451100,"Anton Bruckner, Wiener Akademie, Martin Haselböck",Symphonie No. 1 / Orgelwerke,2005,Classical,SACD
1757600,Johann Sebastian Bach / Glenn Gould,Goldberg Variations BWV 988,2000,Classical,SACD
